%,h=1,h=1/2,h=2,h=3,n,player,season
0.7361111111111112,-17.074774676093256,-17.816493542801624,-15.113053404366724,-7.156454832704753,144.0,Damien Wilkins,2007 - 2008
0.7972972972972973,-15.868701209883852,-3.6126845625396697,-11.042553018212814,-6.5154169147565,74.0,Shane Larkin,2014 - 2015
0.5,-15.249340338673226,-16.574764786571425,-13.923915890775028,-13.923915890775028,14.0,Byron Mullens,2010 - 2011
0.7142857142857143,-14.996150964977272,-15.394062114018666,-11.376663882442251,-10.20954205822676,28.0,Nick Johnson,2014 - 2015
0.6853932584269663,-13.861169650549073,1.5830283941296557,-8.63016665726434,-8.460825162632432,445.0,Tim Duncan,2009 - 2010
0.6829268292682927,-13.145276528854737,-5.15206115261806,-10.066948054010595,-10.830445216992288,41.0,Jake Tsakalidis,2006 - 2007
0.7068965517241379,-12.906351170285774,1.0818691211816827,-13.048137914625386,-7.518054394946972,116.0,Shaun Livingston,2006 - 2007
0.6739130434782609,-12.82839689774864,0.3311011846759868,-7.988730754247655,-4.769854929379463,46.0,Lavoy Allen,2014 - 2015
0.8918918918918919,-12.144847985008425,-9.400431344859129,-12.025465168506884,-10.521586124015428,74.0,Brian Roberts,2014 - 2015
0.8622448979591837,-12.052980291781012,0.8145008641767504,-9.190212869367656,-5.9400514781539755,196.0,Rodney Hood,2015 - 2016
0.4375,-11.922198825157842,-12.684545348916851,-9.185111393604359,-8.138615106075264,16.0,Cedric Simmons,2008 - 2009
0.8484848484848485,-11.594179831191838,1.8709883263691154,-5.557025472885101,4.4572131585250645,297.0,Jason Terry,2010 - 2011
0.8245614035087719,-11.056320997036075,-5.918298926509955,-10.056745351563173,-8.67009305421481,57.0,Daequan Cook,2007 - 2008
0.6551724137931034,-11.003403809512704,0.14902128438748719,-9.31633052705601,-7.9357734496552865,58.0,Jared Dudley,2013 - 2014
0.8320209973753281,-10.680889789137836,-4.261932939384849,-5.113180916377928,-3.084338263482209,381.0,John Salmons,2008 - 2009
0.6625766871165644,-10.673866065260711,1.5906142927856877,-14.433149562413632,-17.347494523515905,163.0,Jason Richardson,2006 - 2007
0.6814814814814815,-10.15474457966144,1.7874246473604103,-3.9008113318488427,-1.5922464932029925,270.0,Marcin Gortat,2013 - 2014
0.7446808510638298,-10.11296558734022,1.4095063980474123,-5.487772593366351,-3.136625933757877,47.0,Gary Harris,2014 - 2015
