TIME	TEAM	PLAY	SCORE
12:00		Andre Drummond vs. Tristan Thompson (Reggie Jackson gains possession)	0 - 0	
11:41		Marcus Morris makes 19-foot jumper (Reggie Jackson assists)	2 - 0	
11:27		Kyrie Irving misses 15-foot jumper	2 - 0	
11:26		Tristan Thompson offensive rebound	2 - 0	
11:22		Kevin Love makes three point jumper (LeBron James assists)	2 - 3	
11:07		Tobias Harris misses three point jumper	2 - 3	
11:06		LeBron James defensive rebound	2 - 3	
10:41		J.R. Smith misses three point jumper	2 - 3	
10:41		Marcus Morris defensive rebound	2 - 3	
10:36		Reggie Jackson lost ball turnover (Kyrie Irving steals)	2 - 3	
10:30		LeBron James makes two point shot	2 - 5	
10:06		Andre Drummond misses 13-foot jump bank shot	2 - 5	
10:04		Kevin Love defensive rebound	2 - 5	
9:57		Kyrie Irving misses 21-foot jumper	2 - 5	
9:56		Reggie Jackson defensive rebound	2 - 5	
9:51		Kentavious Caldwell-Pope misses 25-foot three point jumper	2 - 5	
9:48		Tobias Harris makes tip shot	4 - 5	
9:48		Tobias Harris offensive rebound	2 - 5	
9:26		Kevin Love makes 17-foot two point shot (J.R. Smith assists)	4 - 7	
9:03		Marcus Morris makes two point shot (Reggie Jackson assists)	6 - 7	
8:45		Kevin Love misses 14-foot two point shot	6 - 7	
8:44		Tobias Harris defensive rebound	6 - 7	
8:37		Tobias Harris bad pass (J.R. Smith steals)	6 - 7	
8:30		LeBron James makes two point shot (Tristan Thompson assists)	6 - 9	
8:12		Marcus Morris makes jumper	8 - 9	
7:50		Kyrie Irving misses 25-foot three point jumper	8 - 9	
7:50		Andre Drummond defensive rebound	8 - 9	
7:35		Reggie Jackson makes 25-foot three point jumper (Tobias Harris assists)	11 - 9	
7:13		LeBron James makes driving layup (Kyrie Irving assists)	11 - 11	
7:00		Reggie Jackson bad pass (Kevin Love steals)	11 - 11	
6:50		Kevin Love misses 25-foot three point jumper	11 - 11	
6:50		Kyrie Irving offensive rebound	11 - 11	
6:46		Kevin Love bad pass (Tobias Harris steals)	11 - 11	
6:37		Kentavious Caldwell-Pope makes jumper (Marcus Morris assists)	13 - 11	
6:37		Cavaliers Full timeout	13 - 11	
6:24		LeBron James misses two point shot	13 - 11	
6:24		Tristan Thompson offensive rebound	13 - 11	
5:58		Kyrie Irving misses 17-foot jumper	13 - 11	
5:58		Tobias Harris defensive rebound	13 - 11	
5:43		J.R. Smith kicked ball violation	13 - 11	
5:31		Kentavious Caldwell-Pope makes 27-foot three point jumper (Reggie Jackson assists)	16 - 11	
5:05		J.R. Smith misses 27-foot three point jumper	16 - 11	
5:05		Kentavious Caldwell-Pope defensive rebound	16 - 11	
4:56		Kentavious Caldwell-Pope makes 9-foot two point shot	18 - 11	
4:37		Kyrie Irving makes 24-foot three point jumper (LeBron James assists)	18 - 14	
4:11		Marcus Morris misses three point jumper	18 - 14	
4:09		Kyrie Irving defensive rebound	18 - 14	
4:01		LeBron James makes two point shot (Kyrie Irving assists)	18 - 16	
3:41		Reggie Jackson makes driving layup	20 - 16	
3:20		Tobias Harris personal foul (Kevin Love draws the foul)	20 - 16	
3:20		Matthew Dellavedova enters the game for Kyrie Irving	20 - 16	
3:20		Stanley Johnson enters the game for Tobias Harris	20 - 16	
3:08		Matthew Dellavedova makes 7-foot two point shot (LeBron James assists)	20 - 18	
2:42		Marcus Morris misses 13-foot two point shot	20 - 18	
2:42		Tristan Thompson defensive rebound	20 - 18	
2:28		Reggie Jackson personal foul (LeBron James draws the foul)	20 - 18	
2:28		Pistons Full timeout	20 - 18	
2:28		Steve Blake enters the game for Reggie Jackson	20 - 18	
2:28		Iman Shumpert enters the game for Kevin Love	20 - 18	
2:17		J.R. Smith makes 25-foot three point jumper (LeBron James assists)	20 - 21	
2:00		Kentavious Caldwell-Pope misses 17-foot jumper	20 - 21	
2:00		J.R. Smith defensive rebound	20 - 21	
1:45		LeBron James misses 8-foot two point shot	20 - 21	
1:43		Stanley Johnson defensive rebound	20 - 21	
1:37		Kentavious Caldwell-Pope makes 26-foot three point jumper (Steve Blake assists)	23 - 21	
1:23		Stanley Johnson personal foul (LeBron James draws the foul)	23 - 21	
1:23		Richard Jefferson enters the game for J.R. Smith	23 - 21	
1:15		Matthew Dellavedova makes 8-foot two point shot	23 - 23	
1:01		Richard Jefferson personal foul (Andre Drummond draws the foul)	23 - 23	
1:01		Kyrie Irving enters the game for LeBron James	23 - 23	
0:46		Kentavious Caldwell-Pope misses 27-foot three point jumper	23 - 23	
0:45		Iman Shumpert defensive rebound	23 - 23	
0:35		Kyrie Irving makes 18-foot jumper (Tristan Thompson assists)	23 - 25	
0:26		Richard Jefferson personal foul (Marcus Morris draws the foul)	23 - 25	
0:26		Marcus Morris makes free throw 1 of 2	24 - 25	
0:26		Marcus Morris makes free throw 2 of 2	25 - 25	
0:01		Kyrie Irving misses driving layup	25 - 25	
0:01		Cavaliers offensive team rebound	25 - 25	
0:01		LeBron James enters the game for Richard Jefferson	25 - 25	
0:01		J.R. Smith enters the game for Iman Shumpert	25 - 25	
0:00		LeBron James makes layup (Kyrie Irving assists)	25 - 27	
0:00		End of the 1st Quarter	25 - 27	
2nd Quarter
TIME	TEAM	PLAY	SCORE
11:44		Kyrie Irving misses 10-foot jump bank shot	25 - 27	
11:41		Tobias Harris defensive rebound	25 - 27	
11:30		Tobias Harris misses 26-foot three point jumper	25 - 27	
11:29		Kyrie Irving defensive rebound	25 - 27	
11:11		Iman Shumpert misses three point jumper	25 - 27	
11:11		Kyrie Irving offensive rebound	25 - 27	
11:07		Matthew Dellavedova misses 24-foot three point jumper	25 - 27	
11:07		Stanley Johnson defensive rebound	25 - 27	
10:57		Reggie Bullock makes 22-foot jumper (Steve Blake assists)	27 - 27	
10:41		Kyrie Irving makes three point jumper	27 - 30	
