TIME	TEAM	PLAY	SCORE
12:00		Tristan Thompson vs. Zaza Pachulia (Draymond Green gains possession)	0 - 0	
11:41		Kevin Durant misses 17-foot jumper	0 - 0	
11:41		JR Smith defensive rebound	0 - 0	
11:33		LeBron James makes driving layup	2 - 0	
11:22		Draymond Green makes 27-foot three pointer (Stephen Curry assists)	2 - 3	
11:11		Kevin Love makes two point shot (LeBron James assists)	4 - 3	
11:11		Kevin Durant shooting foul (Kevin Love draws the foul)	4 - 3	
11:11		Kevin Love makes free throw 1 of 1	5 - 3	
10:53		Draymond Green misses 11-foot two point shot	5 - 3	
10:52		Zaza Pachulia offensive rebound	5 - 3	
10:49		Draymond Green misses 25-foot Regular Jump Shot	5 - 3	
10:47		Kevin Love defensive rebound	5 - 3	
10:41		LeBron James makes two point shot	7 - 3	
10:26		Stephen Curry lost ball turnover (Kyrie Irving steals)	7 - 3	
10:26		Draymond Green personal foul (LeBron James draws the foul)	7 - 3	
10:17		Kevin Love makes layup (LeBron James assists)	9 - 3	
10:11		JR Smith shooting foul (Stephen Curry draws the foul)	9 - 3	
10:11		Stephen Curry makes free throw 1 of 3	9 - 4	
10:11		Stephen Curry makes free throw 2 of 3	9 - 5	
10:11		Stephen Curry makes free throw 3 of 3	9 - 6	
9:56		Kevin Love makes 17-foot two point shot (LeBron James assists)	11 - 6	
9:44		Zaza Pachulia misses layup	11 - 6	
9:44		LeBron James defensive rebound	11 - 6	
9:37		LeBron James misses 4-foot jumper	11 - 6	
9:37		Draymond Green defensive rebound	11 - 6	
9:32		Klay Thompson misses 25-foot three point jumper	11 - 6	
9:32		Klay Thompson offensive rebound	11 - 6	
9:27		Klay Thompson makes 10-foot two point shot	11 - 8	
9:15		Kyrie Irving misses 27-foot three point jumper	11 - 8	
9:15		Klay Thompson defensive rebound	11 - 8	
9:08		Klay Thompson makes two point shot	11 - 11	
9:08		Kevin Love shooting foul (Klay Thompson draws the foul)	11 - 11	
9:08		Klay Thompson makes free throw 1 of 1	11 - 11	
8:56		Kevin Love makes 12-foot two point shot (Kyrie Irving assists)	13 - 11	
8:40		Kevin Durant lost ball turnover (LeBron James steals)	13 - 11	
8:34		LeBron James misses 11-foot jumper	13 - 11	
8:34		Warriors defensive team rebound	13 - 11	
8:34		Tristan Thompson loose ball foul (Zaza Pachulia draws the foul)	13 - 11	
8:18		Kevin Durant makes 2-foot layup (Stephen Curry assists)	13 - 13	
8:07		Kevin Love misses 25-foot three point jumper	13 - 13	
8:07		Kevin Durant defensive rebound	13 - 13	
7:54		Draymond Green bad pass (Tristan Thompson steals)	13 - 13	
7:54		Klay Thompson shooting foul (LeBron James draws the foul)	13 - 13	
7:54		LeBron James makes free throw 1 of 2	14 - 13	
7:54		LeBron James misses free throw 2 of 2	14 - 13	
7:52		Kevin Durant defensive rebound	14 - 13	
7:47		Warriors Full timeout	14 - 13	
7:37		Stephen Curry makes 24-foot three pointer (Draymond Green assists)	14 - 16	
7:11		Kyrie Irving misses 9-foot	14 - 16	
7:09		Tristan Thompson offensive rebound	14 - 16	
7:01		Kevin Love misses 24-foot three point jumper	14 - 16	
7:01		Klay Thompson defensive rebound	14 - 16	
6:50		Klay Thompson bad pass (Tristan Thompson steals)	14 - 16	
6:46		Stephen Curry personal foul (JR Smith draws the foul)	14 - 16	
6:43		LeBron James Out-of-Bounds Bad Pass Turnover	14 - 16	
6:33		Stephen Curry misses 27-foot three point jumper	14 - 16	
6:33		Tristan Thompson defensive rebound	14 - 16	
6:24		Tristan Thompson misses 8-foot jumper	14 - 16	
6:22		Kevin Durant defensive rebound	14 - 16	
6:13		Draymond Green makes 26-foot three pointer (Kevin Durant assists)	14 - 19	
5:54		Tristan Thompson makes driving dunk (Kyrie Irving assists)	16 - 19	
5:35		Zaza Pachulia makes layup (Draymond Green assists)	16 - 21	
5:24		Kyrie Irving bad pass (Kevin Durant steals)	16 - 21	
5:18		Stephen Curry makes 12-foot two point shot (Kevin Durant assists)	16 - 23	
5:18		Cavaliers Full timeout	16 - 23	
5:00		Kevin Durant blocks Kyrie Irving 's 11-foot jumper	16 - 23	
4:58		Stephen Curry defensive rebound	16 - 23	
4:52		Kevin Durant makes 26-foot step back jumpshot	16 - 26	
4:41		LeBron James lost ball turnover (Kevin Durant steals)	16 - 26	
4:31		Stephen Curry misses 24-foot three point pullup jump shot	16 - 26	
4:30		Kevin Love defensive rebound	16 - 26	
4:20		Kyrie Irving makes 23-foot three point jumper	19 - 26	
4:05		Zaza Pachulia offensive Charge (Kyrie Irving draws the foul)	19 - 26	
4:05		Zaza Pachulia turnover	19 - 26	
4:05		Andre Iguodala enters the game for Draymond Green	19 - 26	
4:05		JaVale McGee enters the game for Zaza Pachulia	19 - 26	
4:05		Channing Frye enters the game for Tristan Thompson	19 - 26	
3:51		Kevin Durant blocks Channing Frye 's 3-foot jumper	19 - 26	
3:51		Warriors defensive team rebound	19 - 26	
